Título,Genre,Year,Rating
Daniel Caesar - CASE STUDY 01,R&B,2019,7
A$AP Mob - Cozy Tapes: Vol. 1 Friends -,Hiphop; Trap,2016,2.5
Kenny Mason - Angelic Hoodrat: Supercut,Trap; Southern Hip Hop,2021,4
Daft Punk - Random Access Memories,Disco; Electronic,2013,8
Fleetwood Mac - Rumours,Pop Rock; Soft Rock,1977,7.5
The Beach Boys - Pet Sounds,Baroque Pop,1966,5.5
Stevie Wonder - Songs In The Key Of Life,R&B; Soul,1976,7.5
The Beatles - Abbey Road,Pop Rock,1969,6.5
Prince and the Revolution - Purple Rain,Pop Rock; Film Soundtrack; Synth Funk,1984,5.5
Bob Dylan - Highway 61 Revisited,Folk Rock; Blues Rock; Rock And Roll,1965,7
Bon Iver - 22 A Million,Folktronica; Art Pop; Electronic,2016,7.5
Novo Amor - Birthplace,Indie Folk,2018,5
Feed me Jack - Chumpfrey,Indie Rock,2015,6
Alfa Mist - Antiphon,Jazz,2017,6
Sun Kil Moon - Benji,Folk Rock; Indie Folk,2014,7
D'Angelo - Voodoo,Neo Soul; R&B,2000,6
The Jimi Hendrix Experience - Are You Experienced,Psychedelic Rock; Hard Rock,1967,5.5
Miles Davis - Kind of Blue,Modal Jazz,1959,6.5
Beyoncé - Lemonade,R&B; Art Pop,2016,7
The Velvet Underground - The Velvet Underground and Nico,Art Rock; Experimental Rock,1967,5.5
Stevie Wonder - Innervisions,R&B; Soul,1973,7
Bob Dylan - Blonde on Blonde,Folk Rock; Blues Rock; Rock And Roll,1966,8.5
Talking Heads - Remain in Light,New Wave; Funk; Post-Punk,1980,6.5
The Rolling Stones - Let It Bleed,Hard Rock; Blues Country; Blues,1969,8.5
Jimi Hendrix - Electric Ladyland,Psychedelic Rock; Hard Rock,1968,5.5
Kate Bush - Hounds of Love,Art Pop; Progressive Pop,1985,7
My Bloody Valentine - Loveless,Shoegaze; Dream pop,1991,7.5
AC/DC - Back in Black,Hard Rock; Heavy Metal,1980,6
Miles Davis - Bitches Brew,Jazz Fusion; Experimental Jazz,1969,6.5
The Strokes - Is This It,Indie Rock; Garage Rock Revival,2001,9
Portishead - Dummy,Trip Hop,1994,6.5
Nine Inch Nails - The Downward Spiral,Industrial Rock; Alternative Rock,1994,3.5
Taylor Swift - folklore,Indie Folk; Alternative Rock,2020,6.5
Aphex Twin - Selected Ambient Works 85-92,Ambient Techno; IDM,1992,7.5
Daft Punk - Discovery,French House; Disco,2001,6.5
Taylor Swift - evermore,Alternative Rock; Folk Pop,2020,7
The Beatles - Revolver,Rock; Pop,1966,5
Patti Smith - Horses,Punk Rock; Art Punk,1975,6.5
King Crimson - In the Court of the Crimson King,Progressive Rock,1969,8.5
Panchiko - D>E>A>T>H>M>E>T>A>L,Indie Rock; Dream Pop,2000,7
The Doors - The Doors,Psychedelic Rock; Hard Rock,1967,7
Sufjan Stevens - Illinois,Indie Folk; Chamber Folk,2005,8.5
